task,best_model,accuracy,precision,recall,f1,roc_auc
IC50_median,RandomForest,0.7268041237113402,0.72,0.7422680412371134,0.7309644670050761,0.8049208204910192
CC50_median,RandomForest,0.7474226804123711,0.7553191489361702,0.7319587628865979,0.743455497382199,0.8368051865235414
SI_median,SVC,0.6701030927835051,0.6987951807228916,0.5979381443298969,0.6444444444444445,0.7190455946434264
SI_threshold_8,RandomForest,0.7164948453608248,0.64,0.463768115942029,0.5378151260504201,0.7427826086956522
