task,best_model,RMSE,MAE,R2
IC50,GradientBoosting,1.1607022245240846,0.922206727278509,0.634860063437694
CC50,RandomForest,1.0348365806269433,0.697089777061837,0.5441388639715172
SI,GradientBoosting,1.2968731158596822,0.948743093920248,0.2556131439977469
